#{"t_start": 1709852568.9109983, "env_id": null}
r,l,t
7.899995,79,13.094574
8.399996,84,13.103856
9.800001,98,13.103934
7.9999948,80,13.113203
7.599995,76,13.113279
10.000002,100,13.1133
6.9999957,70,13.117903
7.0999956,71,13.122607
5.8999968,59,13.136466
8.099995,81,13.145749
7.599995,76,13.150481
5.599997,56,13.150557
7.799995,78,13.159783
13.100014,131,13.173878
6.599996,66,13.193922
6.0999966,61,13.194005
7.599995,76,13.198924
5.599997,56,13.203657
4.1999984,42,13.208369
8.799997,88,13.208446
7.3999953,74,13.222285
7.2999954,73,13.231508
9.5,95,13.231589
7.3999953,74,13.236354
7.3999953,74,13.236428
7.1999955,72,13.236454
5.599997,56,13.245725
4.1999984,42,13.250434
12.300011,123,13.250568
4.9999976,50,13.26428
8.399996,84,13.273717
7.1999955,72,13.273793
5.0999975,51,13.27846
0.2,2,17.062507
0.4,4,17.073346
0.5,5,17.079147
0.5,5,17.079228
0.6,6,17.084263
1.0000001,10,17.105498
1.1000001,11,17.110966
1.2000002,12,17.116038
1.2000002,12,17.116113
1.4000002,14,17.126098
1.5000002,15,17.131021
1.6000003,16,17.135991
1.6000003,16,17.136065
1.6000003,16,17.136086
1.7000003,17,17.14116
1.8000003,18,17.147004
1.8000003,18,17.147078
1.8000003,18,17.147097
1.8000003,18,17.147113
1.9000003,19,17.151883
1.9000003,19,17.151958
2.0000002,20,17.156708
2.0000002,20,17.15678
2.4999998,25,17.180105
2.4999998,25,17.180184
2.5999997,26,17.185082
2.6999996,27,17.190055
3.0999992,31,17.208862
3.0999992,31,17.20894
3.0999992,31,17.208968
3.399999,34,17.223057
3.4999988,35,17.227964
3.5999987,36,17.232842
3.7999985,38,17.242477
3.8999984,39,17.247268
3.8999984,39,17.247347
3.9999983,40,17.252094
4.1999984,42,17.261604
2.5999997,26,17.261681
4.399998,44,17.271172
4.499998,45,17.275965
4.599998,46,17.280759
4.699998,47,17.285541
4.9999976,50,17.299745
