#{"t_start": 1713899393.4067721, "env_id": null}
r,l,t
3.379999,138,8.117037
3.5299997,53,8.122094
6.93001,93,8.127128
2.7799995,78,8.127208
0.6499997,65,8.127229
8.520021,152,8.1322
0.5499998,55,8.141922
0.6299997,63,8.142005
1.3299991,133,8.146909
0.7399996,74,8.146993
1.1099993,111,8.151852
0.65999967,66,8.156782
1.6499996,65,8.161811
6.3400173,134,8.166877
0.6499997,65,8.171867
6.330002,133,8.176868
5.760003,76,8.191739
4.850006,185,8.19682
2.9299994,93,8.201815
4.8600082,86,9.483759
0.30999997,31,9.494634
5.930006,93,9.494722
0.65999967,66,9.509827
7.1400137,114,9.514945
3.7099996,71,9.515034
0.33999994,34,9.525088
5.150012,115,9.530056
1.5699997,57,9.535227
0.8199995,82,9.545157
0.41999987,42,9.550509
2.6899996,69,9.575719
0.45999983,46,9.590455
1.5899997,59,9.605397
0.8099995,81,9.610639
1.7799995,78,9.616143
1.7399995,74,9.621166
1.4999998,50,9.626247
8.110009,111,9.631251
2.5199997,52,9.646746
3.7499995,75,9.64683
0.6299997,63,9.652001
4.52,52,9.652081
2.5399997,54,9.652102
1.0199994,102,9.65703
0.4799998,48,9.662054
0.79999954,80,9.667058
0.5199998,52,9.672134
1.6299996,63,9.672212
0.56999975,57,9.682024
0.4799998,48,9.682108
0.67999965,68,9.691947
2.5599997,56,9.706919
1.6099997,61,9.712121
1.8599994,86,9.717494
2.6099997,61,9.717573
1.0499994,105,9.727457
4.8100104,81,9.742301
3.9199994,92,9.747312
3.339999,134,9.761943
5.010005,101,9.76203
1.5199997,52,9.776742
1.8099995,81,9.776828
1.8699994,87,9.781744
1.7799995,78,9.796656
3.259999,126,9.796741
0.98999935,99,9.801763
0.7299996,73,9.801843
0.5399998,54,9.806959
7.9600115,96,9.807041
3.319999,132,9.822233
4.500001,50,9.827224
0.8499995,85,9.84199
0.6299997,63,9.847046
2.5999997,60,9.852137
1.2299992,123,9.85222
0.7199996,72,9.857161
0.28,28,9.857241
0.5399998,54,9.862188
0.7299996,73,9.862268
3.6699996,67,9.862288
0.7599996,76,9.86725
2.7499995,75,9.886837
5.8500023,85,9.891852
3.5599997,56,9.906729
0.57999974,58,9.912167
1.8999994,90,9.912256
1.6199996,62,9.917661
1.5799989,158,9.927697
4.2400045,124,9.92778
2.1299994,113,9.932783
7.190013,119,9.938118
1.7899995,79,9.943228
7.980009,98,9.948238
2.1099992,111,9.948318
1.6399996,64,9.953303
1.5599997,56,9.953382
2.1199992,112,9.953404
5.630001,63,9.96797
1.0899993,109,9.977767
1.6799996,68,9.997396
2.7099996,71,10.002515
0.40999988,41,10.013111
4.6499996,65,10.018336
2.7199996,72,10.02332
0.5199998,52,10.023401
8.8200035,82,10.028309
1.6599996,66,10.043201
1.7599995,76,10.048324
0.5099998,51,10.058675
1.6599996,66,10.058755
0.4999998,50,10.073811
4.400004,140,10.078937
3.8699994,87,10.084063
0.9299994,93,10.119372
1.8399994,84,10.130066
0.65999967,66,10.130149
0.7099996,71,10.135643
1.6699996,67,10.135766
1.5399997,54,10.135814
0.43999985,44,10.142137
2.7399995,74,10.152354
4.9400024,194,10.152439
0.66999966,67,10.167373
1.3399999,34,10.177409
0.68999964,69,10.19248
3.6499996,65,10.192566
1.5599997,56,10.197519
0.67999965,68,10.202651
2.0899992,109,10.22361
3.1399992,114,10.228703
9.150025,215,10.233904
0.7499996,75,10.233989
2.8599994,86,10.244263
0.5999997,60,10.244349
0.7499996,75,10.244372
0.9599994,96,10.249516
0.7499996,75,10.249595
1.6999996,70,10.249617
6.140009,114,10.259676
1.1399993,114,10.25981
3.8199995,82,10.275073
1.8499994,85,10.280198
1.5799997,58,10.295206
0.7399996,74,10.305353
2.379999,138,10.310763
2.0499992,105,10.316168
2.7899995,79,10.316253
2.7999995,80,10.316276
2.5999997,60,10.321304
1.7299995,73,10.321383
8.190014,119,10.321404
1.9299994,93,10.326295
7.620014,162,10.336118
3.189999,119,10.350907
0.5299998,53,10.350991
3.8799994,88,10.375438
0.3999999,40,10.380505
0.7099996,71,10.385683
0.45999983,46,10.401045
0.69999963,70,10.416457
3.0499992,105,10.421894
0.29999998,30,10.427068
3.9899993,99,10.437147
1.7099996,71,10.437231
0.98999935,99,10.452003
0.6299997,63,10.457037
1.6699996,67,10.471949
1.7099996,71,10.481836
0.8499995,85,10.4919
3.0299993,103,10.491984
0.69999963,70,10.492007
4.8599997,86,10.52297
0.5299998,53,10.528059
0.56999975,57,10.533115
0.67999965,68,10.538124
5.1600018,116,10.543181
0.57999974,58,10.543263
